Coilnr;Date;Direction;Type eprouvette;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
899293;;L;I20;1,35;465;819,3333333;159,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;75,0487;0,34;2,169684849;7,994808704;-17,48872421;21,5859835;762;453
899293;;L;I20;1,35;520;880,6666667;160;690;24700;2650;130;15;1500;240;2870;250;21;900;75,0073;0,3267;2,325932883;7,999221409;-17,51697631;21,5978978;766;456,33
899293;;L;I20;1,35;468;828;166,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;72,9283;0,35;2,102118324;8,227258828;-16,5546141;22,21359884;763;462
899293;;L;I20;1,35;596,6666667;956;139;690;24700;2650;130;15;1500;240;2870;250;21;900;79,9609;0,29;2,883936774;7,503667417;-18,45251538;20,25990203;785;479
899293;;L;I20;1,35;660,3333333;992,6666667;131,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;80,0208;0,25;3,369144217;7,498050507;-19,25085611;20,24473637;802;483
899293;;L;I20;1,35;641,3333333;989,3333333;123;690;24700;2650;130;15;1500;240;2870;250;21;900;80;0,25;3,288770112;7,5;-19,42684766;20,25;800;478
402932;;L;I20;1,35;727,667;1024,33;113,667;690;24700;2650;130;15;1500;240;2870;250;21;900;67,866;0,52;18,69777551;8,840951286;-16,63382353;23,87056847;826;501
402932;;L;I20;1,35;722,3333333;1022,333333;111,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;67,98;0,28;5,994602441;8,826125331;-18,30230769;23,83053839;825;468
402932;;L;I20;1,35;763,6666667;1036,666667;95,33333333;690;24700;2650;130;15;1500;240;2870;250;21;900;70;0,39;5,928165292;8,571428571;-19,05731523;23,14285714;820;459
402932;;L;I20;1,35;739,3333333;1022,666667;111;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,43;4,108989218;8,333333333;-19,33031674;22,5;810;454
402932;;L;I20;1,35;715,3333333;1014,666667;110;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,44;3,305309194;8,333333333;-18,46153846;22,5;799;459
402932;;L;I20;1,35;676,3333333;994;134,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,47;2,896716656;8,333333333;-17,80995475;22,5;792;464
402932;;L;I20;1,35;675;1008,666667;116;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,29;2,986537614;8,333333333;-17,97285068;22,5;797;466
402947;;L;I20;1,35;665;1005;128,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,3;2,933199766;8,333333333;-17,97285068;22,5;797;466
402947;;L;I20;1,35;674,6666667;1009;131,6666667;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,29;3,262314136;8,333333333;-18,62443439;22,5;805;462
402947;;L;I20;1,35;683;1006,666667;121,6666667;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,29;3,349712339;8,333333333;-18,95022624;22,5;809;460
402947;;L;I20;1,35;669,3333333;1003,333333;131;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,3;3,096030194;8,333333333;-18,62443439;22,5;803;460
402947;;L;I20;1,35;671;1008;133,666;690;24700;2650;130;15;1500;240;2870;250;21;900;71,9;0,289;3,134985891;8,344923505;-18,49012066;22,53129346;803;462
402953;;L;I20;1,35;652,6666667;996,3333333;129,6666667;690;24700;2650;130;15;1500;240;2870;250;21;900;71,989;0,31;2,982833345;8,334606676;-18,4044276;22,50343803;800;461
402953;;L;I20;1,35;671,6666667;1001,666667;128,6666667;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,37;2,971394968;8,333333333;-18,35294118;22,5;800;462
402953;;L;I20;1,35;706,3333333;1008,333333;121,6666667;690;24700;2650;130;15;1500;240;2870;250;21;900;72;0,48;3,181655321;8,333333333;-18,67873303;22,5;802;458
402953;;L;I20;1,35;689;1003;140;690;24700;2650;130;15;1500;240;2870;250;21;900;71,947;0,49;2,83988167;8,339472111;-18,34599667;22,5165747;793;454,879
